Category,Question,Answer
General,Hoffman who wrote about a british agent named george smiley,John le carr
General,What is the main food of the oyster catcher,Mussels
General,Bob Fitzsimmons world boxing champion had what middle name,Prometheus
General,Oil seed rape belongs to which plant family,Mustard
General,What first occurred at California Disneyland in March 1981,Murder
General,"Area of commerce that encompasses farming or trapping certain furbearing animals, processing their skins for sale to manufacturers of fur garments, & marketing finished garments to retail outlets",Fur industry
Sports & Leisure,What Colour Caps Do The Australian Cricket Team Wear ,Green 
General,What is the latin word for 'a junction of three roads',Trivia
General,49% of Americans go out to dinner on what day,Their Birthday
Sports & Leisure,Who Rode Shergar To Victory In The Epsom Derby? ,Walter Swinburn 
General,Whose normal heartbeat is 242 per minute,Mr Spock in Star Trek
Art & Literature,What Was The Name Of Charles Dickens Last Novel Unfinished At His Death ,The Mystery Of Edwin Drood 
General,What are The Chiuhauhan Nubian and Alaskan,Deserts
General,What's the seventh sign of the Zodiac,Libra
General,New Zealand's Rugby team is know as the __________________.,All Blacks
Sports & Leisure,At which sport was Fred Perry crowned world champion in 1929? ,Table Tennis 
Art & Literature,"Who is associated with the address 221B Baker Street, London ?",Sherlock Holmes
Sports & Leisure,In Which Scandanavian Country Is Gambling Illegal ,Sweden 
General,Which country is the largest producer of cheese,America
Geography,Which state is the Evergreen State,Washington
Science & Nature,What name is given to animals which eat both plants and meat ?,Omnivore
General,What is the most redesigned appliance in the world,Telephone Handset
Music,"Where was ""Can't Buy Me Love"" recorded?","Paris, France"
General,"What's the sky king's home, near the town of grover, called?",Flying crown ranch
Science & Nature,Which Continent Is The Natural Habitat Of The Ostrich ,Africa 
General,"What craft toy involved cutting plastic figures, coloring them in, and then baking them in the oven?",Shrinky Dinks
General,Deepest from what language is the word mummy derived,Persian
General,When was buckingham palace built,1703
General,Which is the only body cell with no nucleus,Red blood cell
General,"Who Was The First And Original Host Of ITV's ""World Of Sport""",Eamon Andrews
General,An onomastician studies what,Names
General,Hey! what was the name of this song released by 'the romantics' in february 1980,What i like about you
Music,Which Band Performed The Theme To The Secret Diary Of Adrian Mole Aged 13 & 3 Quarters,Ian Dury & The Blockheads
General,Penis comes from the Latin meaning what,Tail
General,What is the colour of mourning in Turkey,Violet
General,What special talent did Molly Ringwald have in The Breakfast Club?,She could apply lipstick with her breasts
General,Amatripsis is what sexual practice,Female masturbation rubbing labia
General,Name the Shakespeare character son of the witch Sycorax,Caliban in The Tempest
General,What is a calm ocean region near the equator called?,Doldrums
Music,Susanne & Joanne Catherall Sang With Which Band,The Human League
Geography,"Created By German Scientists In 1876, What Was The First Artificial Favouring ",Vanilla Essence 
History & Holidays,What's the oldest college in the u.s. ,Harvard 
History & Holidays,Where in the UK would you go to celebrate 'Uphelia'' shortly after Christmas ,Shetland Isles 
General,What is the young of this animal called: Antelope,Calf
General,The via appia went from rome to ______,Brindisi
General,Who qualified for pole position in the 1984 brazilian grand prix,Elio de
General,The distance around the outside of a circle is its ____________.,Circumference
History & Holidays,"""What Is The Name Of The Toy That Arnold Schwarzenegger Desperately Tries To Get For His Son For Christmas In the Film """"Jingle All The Way""""?"" ",Turbo Man 
General,If you landed at Lindberg airport where are you,San Diego
Geography,Which Central American country extends furthest north?,Belize
General,What replaced English as the official language of Kenya in 1974,Swahili
History & Holidays,On what date did America become an independant nation?,"July 4th, 1776"
General,What is the flower that stands for: steadfast piety,Wild geranium
General,"On One Day at a Time,what were the two daughter's names?",Barbara and Julie
Science & Nature,What Animal Can Change Its Colour? ,A Chameleon 
General,In the nursery rhyme what is Fridays child,Loving and Giving
General,What key is to the right of T on a keyboard?,Y
General,What is the main food of walruses,Clams
General,In A 2007 Poll What Music Video Was Voted The Best Video Of All Time,Peter Gabriel / Sledgehammer
Art & Literature,What is the fourth book in the Harry Potter series ,The Goblet Of Fire 
Art & Literature,For What Is Dame Margott Fonteyn Famous ,Ballet Dancing 
General,In which Chinese city is the Terracotta Army,Xian
Entertainment,Who played George Costanza on 'Seinfeld'?,Jason Alexander
People & Places,Which FootbaIl Bad Boy Was Accused Of Violent Assault Against Tv Presenter Ulrika Jonsson ,Stan Collymore 
General,Capitol city - Cathedrale Notra-Dame - statue Marron Inconnu,Port au Prince Haiti
History & Holidays,Alphabetically Which Is The Last Of Santa's Reindeers? ,Vixen 
General,The American Triple Crown - Belmont st Kentucky Derby and?,Preakness Stakes
Geography,What country is directly north of the continental United States?,Canada
General,Happy Days was a spin off from what US TV show,Love American Style
General,Who was called The Man of Destiny,Napoleon Bonaparte
General,Which thick custard-like food is made when fresh milk is artificially curdled by bacteria,Yoghurt
General,What is the only bird that can fly backwards,Hummingbird
General,What is a group of toads,Knot
General,The Blue Ridge Mountains lie in Virginia and which other state,Georgia
Sports & Leisure,What Do The Initials TT Stand For In Regard With The Isle Of Man Motorcyle Race? ,Tourist Trophy 
General,"Who said ""In my free time I do differential and integral calculus""",Karl Marx
General,Ouranophobia is a fear of ______,Heaven
General,As what is sulphur also known,Brimstone
General,Who was the male lead character in Gershwins musical that featured the song Summertime,Porgy
General,What does barley become when prepared for brewing,Malt
General,What minty confection is a boys name - in reverse,Trebor mints - Robert
General,What is a cpu,Central processing unit
Sports & Leisure,Tony Drago is a snooker professional from which country? ,Malta 
General,The use of astronomical phenomena to predict earthly & human events is called,Astrology
General,Name the female British climber while killed trying to climb K2 in 1995,Alison hargreaves
General,The amount of what substance in granite determines its color,Feldspar
Music,"Who Had A Hit In 1993 With ""She Don't Let Nobody""",Chaka Demus & Pliers
General,Who released the No.1 hit single 'Barbie Girl' in October 1997,Aqua
Music,With Which Band Is Raul Malo The Lead Singer,The Mavericks
General,12 is the atomic number of which metal,Magnesium
General,What does a zoologist study,Animals
General,What does a linguist study,Languages
General,"What rock makes the cheapest, softest form of sandpaper",Flint
General,"In Greek mythology, for who did the cyclops forge thunderbolts",Zeus
General,Hans Lippershey made the worlds first practical what,Microscope
Music,Who Is Known As Lady Soul,Aretha Franklin
General,Which department uses 65% of all paper bought by US gov,Defence department
General,What is the flower that stands for: betrayal,Judas tere
Sports & Leisure,What Events Are Involved In A Biathlon ,Cross Country Skiing & Shooting 
General,What is the flower that stands for: avarice,Scarlet auricula
Geography,____________ possesses more proven oil reserves than any country outside the Middle East.,Venezuela
Music,"Who Won An Oscar For His Portrayal Of Broadway Legend George M Cohan In ""Yankee Doodle Dandy""",James Cagney
General,Name the only major Greek God whose Roman counterpart has the same name,Apollo
Music,Ebony & Ivory Was A Hit For Which Famous Duo,Paul McCartney & Stevie Wonder
General,Where can you buy a cup of coffee with cruzeiros,Brazil
General,Alfred Jingle appears in which Dickens novel,The Pickwick Papers
Geography,What is the largest island in the Indian Ocean?,Madagascar
General,A pound of armadillo meat contains how many calories,780 calories
Science & Nature,A wolf's odor detecting ability is __________ times greater than man's.,100
General,On what sea is the crimea,Black sea
General,Whose boat Bluebird was recently raised from Coniston water,Donald Campbell
General,Lee Where were the Toltecs from,Mexico
Music,What note is written in the space above the bottom line of the treble clef?,F
General,What myth is the rhinocerous thought to have inspired,Unicorn
Music,What Was The First Top 10 Hit For The Temptations Reaching No.3 In 1969,I'm Gonna Make You Love Me
Music,"From Which Country Did The Dance, The Quadrille, Originate",France
Geography,"If its 4:00pm in Seattle Washington, what time is it in Portland Oregon",4
General,Lockjaw is another name for which disease,Tetanus
Science & Nature,What two colors is a magpie ,Black and white 
General,What is Moscow's famed opera house,The bolshoi bolshoi
General,The pound cake got its name from the pound of ______ it contained,Butter
General,The town of Beersheba is in which country,Israel
Geography,What country borders Libya on the East?,Egypt
General,In what Australian state would you find Port Pirie,South australia
General,What sporting event first took place in 1903,Tour de france
